"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
453,"Jonathon Simmons",525093,26,"SAS","NBA","SG",55,2,813,122,242,0.504,18,47,0.383,104,195,0.533,0.541,69,92,0.75,16,80,96,58,24,5,53,103,331
455,"Pat Connaughton",525093,23,"POR","NBA","SG",34,0,143,13,49,0.265,5,21,0.238,8,28,0.286,0.316,5,5,1,11,21,32,10,2,0,10,6,36
456,"Luis Montero",525093,22,"POR","NBA","SG",12,0,42,5,19,0.263,1,9,0.111,4,10,0.4,0.289,3,4,0.75,0,4,4,1,0,0,4,1,14
459,"Josh Richardson",525093,22,"MIA","NBA","SG",52,2,1107,123,272,0.452,53,115,0.461,70,157,0.446,0.55,42,63,0.667,21,86,107,73,36,25,35,107,341
462,"Darrun Hilliard",525093,22,"DET","NBA","SG",38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152
464,"Aaron Harrison",525093,21,"CHO","NBA","SG",21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18
465,"Lamar Patterson",525093,24,"ATL","NBA","SG",35,0,395,28,80,0.35,12,49,0.245,16,31,0.516,0.425,16,22,0.727,4,46,50,39,9,2,23,45,84
467,"Jimmer Fredette",507711,26,"NYK","NBA","SG",2,0,5,1,1,1,1,1,1,0,0,,1.5,4,5,0.8,0,0,0,0,0,0,1,1,7
476,"Elijah Millsap",362878,28,"UTA","NBA","SG",20,0,173,11,39,0.282,1,12,0.083,10,27,0.37,0.295,13,18,0.722,6,29,35,19,7,3,9,33,36
481,"Kevin Martin",317475,32,"SAS","NBA","SG",16,1,261,30,85,0.353,11,33,0.333,19,52,0.365,0.418,28,30,0.933,4,25,29,12,9,2,13,15,99
488,"Marcus Thornton",251107,28,"WAS","NBA","SG",14,2,224,42,107,0.393,18,54,0.333,24,53,0.453,0.477,16,21,0.762,7,28,35,19,13,1,11,17,118
496,"Bryce Dejean-Jones",169883,23,"NOP","NBA","SG",14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79
516,"Sean Kilpatrick",99418,26,"BRK","NBA","SG",23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318
517,"Sean Kilpatrick",99418,26,"BRK","NBA","SG",23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318
535,"Bryce Dejean-Jones",61776,23,"NOP","NBA","SG",14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79
536,"Xavier Munford",61776,23,"MEM","NBA","SG",14,0,244,32,77,0.416,9,23,0.391,23,54,0.426,0.474,7,14,0.5,3,28,31,22,13,3,15,25,80
542,"Jimmer Fredette",59731,26,"NYK","NBA","SG",2,0,5,1,1,1,1,1,1,0,0,,1.5,4,5,0.8,0,0,0,0,0,0,1,1,7
545,"Jared Cunningham",57726,24,"MIL","NBA","SG",4,0,55,4,14,0.286,2,7,0.286,2,7,0.286,0.357,6,7,0.857,0,9,9,1,2,0,3,4,16
546,"Orlando Johnson",55722,26,"NOP","NBA","SG",5,1,54,4,17,0.235,1,5,0.2,3,12,0.25,0.265,1,2,0.5,1,5,6,2,1,0,3,4,10
547,"Orlando Johnson",55722,26,"NOP","NBA","SG",5,1,54,4,17,0.235,1,5,0.2,3,12,0.25,0.265,1,2,0.5,1,5,6,2,1,0,3,4,10
549,"Jimmer Fredette",54812,26,"NYK","NBA","SG",2,0,5,1,1,1,1,1,1,0,0,,1.5,4,5,0.8,0,0,0,0,0,0,1,1,7
554,"Bryce Dejean-Jones",50000,23,"NOP","NBA","SG",14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79
572,"Xavier Munford",27812,23,"MEM","NBA","SG",14,0,244,32,77,0.416,9,23,0.391,23,54,0.426,0.474,7,14,0.5,3,28,31,22,13,3,15,25,80
